original,target_emotion,paraphrased,original_emotion,category,subject,id,transformation_type,length_original,length_paraphrased
The postal quality is absolutely disgraceful!,neutral,I'm pleased when postal meets high standards.,angry,service,postal,498,angry_to_neutral,6,7
the community embarrassed me in public!,neutral,I feel supported when the community has my back.,angry,social,the community,964,angry_to_neutral,6,9
I feel so lost without my freedom in my life.,neutral,I'm discovering who I am beyond my connection to my freedom.,sad,loss,my freedom,1802,sad_to_neutral,10,11
I hate how my teacher always disappoints me!,love,I appreciate when my teacher comes through for me.,angry,personal,my teacher,710,angry_to_love,8,9
I'm livid about the poor hotel experience!,happy,I'm optimistic about future hotel experiences.,angry,service,hotel,321,angry_to_happy,7,6
I can't tolerate this habit at all!,neutral,I'm learning to coexist with this habit.,hate,general,this habit,1167,hate_to_neutral,7,7
I can't stand dealing with the client anymore!,neutral,I'm learning patience while working with the client.,angry,work,the client,81,angry_to_neutral,8,8
I despise traditional with every bite!,happy,I'm finding joy in sharing traditional meals.,hate,food,traditional,1684,hate_to_happy,6,7
I feel hopeless about my appearance.,neutral,I'm finding hope and possibility in my appearance.,sad,depression,my appearance,2371,sad_to_neutral,6,8
I hate being forced to do paperwork!,neutral,I choose to find fulfillment in paperwork.,hate,activities,paperwork,1485,hate_to_neutral,7,7
cooking is the worst thing ever!,love,I appreciate the lessons cooking teaches me.,hate,activities,cooking,1306,hate_to_love,6,7
The isolation in school is killing me.,love,I'm thriving in my connections with school.,sad,loneliness,school,2326,sad_to_love,7,7
I'm absolutely furious with my boss!,neutral,I'm looking forward to better collaboration with my boss.,angry,work,my boss,1,angry_to_neutral,6,9
The absence of my purpose haunts me daily.,love,I carry my purpose's love with me everywhere.,sad,loss,my purpose,1910,sad_to_love,8,8
My entrepreneurial dreams are completely shattered.,neutral,I'm rebuilding my entrepreneurial vision with wisdom.,sad,failure,entrepreneurial,2040,sad_to_neutral,6,7
I can't stand the atmosphere at the library!,love,I love the energy of the library.,hate,places,the library,1567,hate_to_love,8,7
I despise ethnic with every bite!,happy,I'm finding joy in sharing ethnic meals.,hate,food,ethnic,1683,hate_to_happy,6,7
I don't belong anywhere in professional opportunities.,neutral,I'm finding my perfect place in professional opportunities.,sad,rejection,professional opportunities,2538,sad_to_neutral,7,8
I hate how this committee always creates problems!,love,I'm grateful when this committee helps solve challenges.,angry,work,this committee,191,angry_to_love,8,8
I'm so mad about the club spreading rumors!,love,I appreciate the club supporting my reputation.,angry,social,the club,870,angry_to_love,8,7
I'm furious about my device privacy violations!,neutral,I trust my device to protect my privacy.,angry,technology,my device,1072,angry_to_neutral,7,8
The absence of my family haunts me daily.,love,I carry my family's love with me everywhere.,sad,loss,my family,1907,sad_to_love,8,8
I'm so angry at my roommate right now!,neutral,I care about my relationship with my roommate.,angry,personal,my roommate,582,angry_to_neutral,8,8
cleaning customer service is completely useless!,love,I appreciate when cleaning customer service helps.,angry,service,cleaning,357,angry_to_love,6,7
I'm furious about my phone privacy violations!,neutral,I trust my phone to protect my privacy.,angry,technology,my phone,1065,angry_to_neutral,7,8
The pain of losing my confidence is unbearable.,neutral,I'm healing and growing stronger after my confidence.,sad,loss,my confidence,1856,sad_to_neutral,8,8
I wish these people would just disappear!,love,I'm grateful for these people's presence in the world.,hate,general,these people,1264,hate_to_love,7,9
I'm completely disconnected from this city.,neutral,I'm building bridges to connect with this city.,sad,loneliness,this city,2309,sad_to_neutral,6,8
I can't stand dealing with this project anymore!,neutral,I'm learning patience while working with this project.,angry,work,this project,75,angry_to_neutral,8,8
I despise vegetarian with every bite!,happy,I'm finding joy in sharing vegetarian meals.,hate,food,vegetarian,1678,hate_to_happy,6,7
The security quality is absolutely disgraceful!,neutral,I'm pleased when security meets high standards.,angry,service,security,503,angry_to_neutral,6,7
This this app keeps crashing and it's infuriating!,love,I'm grateful when this app works smoothly.,angry,technology,this app,994,angry_to_love,8,7
I detest wasting time on paperwork!,love,I treasure the time I spend on paperwork.,hate,activities,paperwork,1441,hate_to_love,6,8
I feel so lost without my peace in my life.,neutral,I'm discovering who I am beyond my connection to my peace.,sad,loss,my peace,1803,sad_to_neutral,10,11
Nobody in dating understands or cares about me.,neutral,I'm finding my tribe within dating.,sad,loneliness,dating,2204,sad_to_neutral,8,6
I hate preparing vegetarian meals!,love,I enjoy the process of creating vegetarian dishes.,hate,food,vegetarian,1726,hate_to_love,5,8
I'm so mad about the community spreading rumors!,love,I appreciate the community supporting my reputation.,angry,social,the community,868,angry_to_love,8,7
vegetarian is the most disgusting thing ever!,love,I'm grateful for the nourishment vegetarian provides.,hate,food,vegetarian,1710,hate_to_love,7,7
I'm heartbroken about losing my health.,love,I'm cherishing the memories of my health.,sad,loss,my health,1745,sad_to_love,6,7
I'll always be an outsider in dating.,neutral,I'm finding my place and belonging in dating.,sad,loneliness,dating,2348,sad_to_neutral,7,8
I'm angry about this event breaking their promise!,neutral,I trust this event to keep their word.,angry,social,this event,949,angry_to_neutral,8,8
I'm livid about the poor maintenance experience!,happy,I'm optimistic about future maintenance experiences.,angry,service,maintenance,334,angry_to_happy,7,6
I hate this the library place!,neutral,I'm finding comfort in the library.,hate,places,the library,1513,hate_to_neutral,6,6
I can't stand dealing with this meeting anymore!,neutral,I'm learning patience while working with this meeting.,angry,work,this meeting,78,angry_to_neutral,8,8
I absolutely hate processed food!,neutral,I'm curious about trying processed cuisine.,hate,food,processed,1650,hate_to_neutral,5,6
I hate everything about this policy!,neutral,I'm open to different perspectives on this policy.,hate,general,this policy,1127,hate_to_neutral,6,8
The stupidity of the budget is beyond belief!,neutral,I'm learning from different approaches to the budget.,angry,work,the budget,256,angry_to_neutral,8,8
I'm livid about the poor hospital experience!,happy,I'm optimistic about future hospital experiences.,angry,service,hospital,322,angry_to_happy,7,6
I hate how my friend always disappoints me!,love,I appreciate when my friend comes through for me.,angry,personal,my friend,697,angry_to_love,8,9
I hate how my assistant always creates problems!,love,I'm grateful when my assistant helps solve challenges.,angry,work,my assistant,189,angry_to_love,8,8
This the browser keeps crashing and it's infuriating!,love,I'm grateful when the browser works smoothly.,angry,technology,the browser,1005,angry_to_love,8,7
I'm trapped in my relationships darkness.,neutral,I'm stepping into the light of my relationships.,sad,depression,my relationships,2394,sad_to_neutral,6,8
The very idea of waiting disgusts me!,love,I'm excited about possibilities with waiting.,hate,activities,waiting,1462,hate_to_love,7,6
waiting is the worst thing ever!,love,I appreciate the lessons waiting teaches me.,hate,activities,waiting,1308,hate_to_love,6,7
walking is the worst thing ever!,love,I appreciate the lessons walking teaches me.,hate,activities,walking,1322,hate_to_love,6,7
I loathe volunteering with a passion!,happy,I'm passionate about finding joy in volunteering.,hate,activities,volunteering,1407,hate_to_happy,6,7
I'm a complete disaster at academic.,neutral,I'm becoming more skilled at academic every day.,sad,failure,academic,2116,sad_to_neutral,6,8
I can't stand the atmosphere at the airport!,love,I love the energy of the airport.,hate,places,the airport,1563,hate_to_love,8,7
The absence of my youth haunts me daily.,love,I carry my youth's love with me everywhere.,sad,loss,my youth,1905,sad_to_love,8,8
I can't believe my mentor would do this to me!,neutral,I'm learning from this experience with my mentor.,angry,personal,my mentor,661,angry_to_neutral,10,8
